,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,lessthan5ft_FGM,lessthan5ft_FGA,lessthan5ft_FG_PCT,5_9ft_FGM,5_9ft_FGA,5_9ft_FG_PCT,10_14ft_FGM,10_14ft_FGA,10_14ft_FG_PCT,15_19ft_FGM,15_19ft_FGA,15_19ft_FG_PCT,20_24ft_FGM,20_24ft_FGA,20_24ft_FG_PCT,25_29ft_FGM,25_29ft_FGA,25_29ft_FG_PCT,30_34ft_FGM,30_34ft_FGA,30_34ft_FG_PCT,35_39ft_FGM,35_39ft_FGA,35_39ft_FG_PCT,40aboveft_FGM,40aboveft_FGA,40aboveft_FG_PCT,SEASON
0,0,2062,A.J. Guyton,1610612744,GSW,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,0.0,1.0,0.0,2002
1,1,243,Aaron McKie,1610612755,PHI,30.0,1.6,2.7,0.571,0.3,0.8,0.35,0.3,1.1,0.3,0.8,1.9,0.4,0.6,1.4,0.412,0.1,0.4,0.207,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,2002
2,2,1425,Aaron Williams,1610612751,NJN,31.0,1.5,2.8,0.526,0.5,1.3,0.402,0.2,0.6,0.362,0.2,0.7,0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2002
3,3,2492,Adam Harrington,1610612743,DEN,22.0,0.1,0.4,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.5,0.5,0.3,0.9,0.267,0.3,0.9,0.333,,,,,,,0.0,0.0,0.0,2002
4,4,1502,Adonal Foyle,1610612744,GSW,28.0,1.5,2.6,0.588,0.4,1.0,0.449,0.2,0.4,0.543,0.1,0.2,0.316,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
5,5,1559,Adrian Griffin,1610612742,DAL,28.0,0.6,1.0,0.547,0.3,0.7,0.462,0.2,0.5,0.289,0.7,1.5,0.481,0.2,0.8,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2002
6,6,1733,Al Harrington,1610612754,IND,23.0,2.0,3.8,0.519,0.3,1.0,0.278,1.0,2.5,0.392,1.2,2.7,0.448,0.3,0.7,0.382,0.1,0.2,0.278,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,2002
7,7,673,Alan Henderson,1610612737,ATL,30.0,1.2,1.9,0.642,0.2,0.8,0.261,0.2,0.6,0.326,0.2,0.6,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
8,8,275,Allan Houston,1610612752,NYK,32.0,0.5,1.3,0.373,0.7,1.3,0.509,1.5,3.0,0.49,2.3,5.1,0.448,2.3,5.1,0.451,0.7,1.9,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2002
9,9,947,Allen Iverson,1610612755,PHI,28.0,3.7,7.0,0.536,0.5,1.5,0.347,0.9,2.8,0.33,2.7,6.8,0.401,1.3,3.3,0.39,0.6,2.3,0.273,0.0,0.2,0.0,0.1,0.1,1.0,0.0,0.2,0.2,2002
10,10,2228,Alton Ford,1610612756,PHX,22.0,0.1,0.2,0.5,0.0,0.2,0.0,0.5,0.8,0.667,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,2002
11,11,1541,Alvin Williams,1610612761,TOR,28.0,1.0,1.9,0.53,0.5,1.2,0.381,0.6,1.3,0.476,1.4,3.3,0.408,1.3,2.8,0.468,0.3,1.0,0.297,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2002
12,12,1043,Amal McCaskill,1610612737,ATL,29.0,0.4,1.5,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2002
13,13,2405,Amar'e Stoudemire,1610612756,PHX,20.0,3.6,6.3,0.573,0.9,2.5,0.335,0.2,0.7,0.23,0.1,0.3,0.286,0.0,0.1,0.167,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.2,0.0,2002
14,14,1889,Andre Miller,1610612746,LAC,27.0,1.7,3.3,0.513,0.9,2.1,0.419,0.9,2.3,0.376,0.9,2.2,0.389,0.2,0.7,0.271,0.2,0.7,0.276,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.5,0.0,2002
15,15,1905,Andrei Kirilenko,1610612762,UTA,22.0,2.7,4.0,0.677,0.0,0.3,0.095,0.1,0.5,0.216,0.4,1.3,0.311,0.5,1.5,0.331,0.2,0.4,0.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2002
16,16,692,Andrew DeClercq,1610612753,ORL,30.0,1.7,2.9,0.586,0.2,0.5,0.4,0.1,0.2,0.267,0.0,0.1,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
17,17,358,Anfernee Hardaway,1610612756,PHX,31.0,1.3,2.3,0.57,0.4,1.0,0.35,0.6,1.3,0.432,1.4,3.0,0.459,0.7,2.0,0.368,0.1,0.3,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
18,18,1738,Ansu Sesay,1610612760,SEA,26.0,0.6,1.1,0.521,0.1,0.2,0.25,0.0,0.1,0.2,0.3,0.9,0.316,0.0,0.2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
19,19,1712,Antawn Jamison,1610612744,GSW,27.0,3.0,4.5,0.668,1.9,4.0,0.468,0.8,2.0,0.396,1.3,3.4,0.372,1.2,3.1,0.391,0.3,0.9,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2002
20,20,1853,Anthony Carter,1610612748,MIA,28.0,0.7,1.2,0.533,0.1,0.3,0.417,0.1,0.4,0.412,0.7,2.2,0.308,0.1,0.6,0.207,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.4,0.0,2002
21,21,924,Anthony Goldwire,1610612764,WAS,31.0,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.7,0.375,0.3,0.7,0.5,0.0,0.3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2002
22,22,1533,Anthony Johnson,1610612751,NJN,28.0,0.6,0.9,0.613,0.2,0.4,0.481,0.2,0.5,0.414,0.4,1.0,0.338,0.2,0.5,0.364,0.1,0.3,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
23,23,193,Anthony Mason,1610612749,MIL,36.0,1.5,2.6,0.562,0.5,1.1,0.466,0.6,1.7,0.358,0.4,0.6,0.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
24,24,324,Anthony Peeler,1610612750,MIN,33.0,0.6,1.0,0.56,0.0,0.2,0.158,0.1,0.5,0.316,0.8,2.0,0.395,1.0,2.5,0.426,0.5,1.3,0.388,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
25,25,2541,Antoine Rigaudeau,1610612742,DAL,31.0,0.4,0.7,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.2,1.0,0.182,0.2,1.1,0.182,0.0,0.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2002
26,26,952,Antoine Walker,1610612738,BOS,26.0,3.2,6.4,0.503,1.3,3.4,0.372,0.5,1.6,0.307,0.2,0.8,0.283,1.1,3.6,0.295,1.4,4.0,0.356,0.1,0.5,0.2,0.0,0.0,0.0,0.0,0.1,0.5,2002
27,27,1498,Antonio Daniels,1610612757,POR,28.0,0.6,0.9,0.617,0.2,0.3,0.667,0.1,0.3,0.412,0.1,0.4,0.28,0.3,0.8,0.37,0.1,0.3,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2002
28,28,213,Antonio Davis,1610612761,TOR,34.0,2.0,4.1,0.495,0.7,1.8,0.409,1.1,2.6,0.407,1.0,3.4,0.302,0.1,0.2,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
29,29,176,Antonio Harvey,1610612737,ATL,32.0,0.5,0.5,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,2002
30,30,1609,Art Long,1610612761,TOR,30.0,0.6,1.3,0.471,0.1,0.7,0.2,0.2,0.3,0.5,0.1,0.6,0.214,0.1,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2002
31,31,717,Arvydas Sabonis,1610612757,POR,38.0,1.2,2.2,0.547,0.4,1.0,0.407,0.1,0.3,0.368,0.2,0.6,0.383,0.3,0.5,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
32,32,1506,Austin Croshere,1610612754,IND,28.0,0.6,1.2,0.534,0.1,0.1,0.6,0.2,0.4,0.368,0.2,0.9,0.238,0.5,1.1,0.412,0.3,0.8,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
33,33,422,Avery Johnson,1610612742,DAL,38.0,0.8,1.7,0.463,0.2,0.5,0.35,0.1,0.3,0.417,0.3,0.7,0.4,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2002
34,34,1884,Baron Davis,1610612740,NOH,24.0,2.7,5.0,0.548,0.3,1.0,0.292,0.6,1.5,0.395,0.6,2.0,0.323,1.4,3.7,0.368,1.0,2.8,0.368,0.3,1.0,0.333,0.3,0.5,0.5,0.0,0.2,0.0,2002
35,35,1112,Ben Wallace,1610612765,DET,28.0,2.4,4.0,0.587,0.1,0.5,0.273,0.1,0.5,0.27,0.2,0.9,0.27,0.0,0.1,0.143,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
36,36,902,Bimbo Coles,1610612738,BOS,35.0,0.2,0.6,0.333,0.1,0.2,0.25,0.3,0.9,0.3,0.7,1.9,0.364,0.3,0.9,0.387,0.1,0.2,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2002
37,37,448,Bo Outlaw,1610612756,PHX,32.0,1.6,2.7,0.613,0.2,0.4,0.433,0.0,0.2,0.25,0.1,0.2,0.278,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2002
38,38,682,Bob Sura,1610612744,GSW,30.0,1.6,2.9,0.541,0.2,0.6,0.281,0.0,0.2,0.167,0.1,0.5,0.185,0.4,0.9,0.404,0.2,0.9,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
39,39,1517,Bobby Jackson,1610612758,SAC,30.0,2.4,3.8,0.635,0.2,0.6,0.351,0.3,0.7,0.425,0.8,2.1,0.381,1.7,4.2,0.413,0.3,0.9,0.365,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.3,0.0,2002
40,40,2250,Bobby Simmons,1610612764,WAS,23.0,0.4,0.9,0.424,0.1,0.3,0.25,0.0,0.2,0.25,0.6,1.6,0.396,0.3,0.6,0.471,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
41,41,1719,Bonzi Wells,1610612757,POR,26.0,3.0,4.9,0.607,0.3,1.0,0.324,0.5,1.4,0.35,1.0,3.0,0.341,0.9,2.5,0.368,0.1,0.4,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2002
42,42,2411,Bostjan Nachbar,1610612745,HOU,22.0,0.4,0.6,0.667,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.4,0.6,0.1,1.0,0.077,0.1,0.2,0.5,,,,,,,,,,2002
43,43,1802,Brad Miller,1610612754,IND,27.0,2.6,4.2,0.605,0.2,0.8,0.283,0.5,1.2,0.429,0.9,2.2,0.429,0.2,0.5,0.368,0.0,0.1,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
44,44,2220,Brandon Armstrong,1610612751,NJN,23.0,0.1,0.2,0.5,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.7,0.4,0.2,0.7,0.333,0.0,0.3,0.0,,,,,,,0.0,0.0,0.0,2002
45,45,1585,Brandon Williams,1610612737,ATL,28.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.2,0.6,0.333,0.0,0.2,0.0,0.0,0.0,0.0,,,,,,,,,,2002
46,46,2217,Brendan Haywood,1610612764,WAS,23.0,1.7,2.8,0.613,0.1,0.6,0.216,0.2,0.6,0.391,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
47,47,699,Brent Barry,1610612760,SEA,31.0,1.4,2.2,0.634,0.2,0.4,0.419,0.0,0.1,0.2,0.1,0.5,0.306,1.0,2.2,0.439,0.8,2.3,0.353,0.2,0.3,0.667,0.0,0.0,0.0,0.1,0.2,0.5,2002
48,48,1510,Brevin Knight,1610612763,MEM,27.0,0.5,1.0,0.519,0.1,0.4,0.364,0.1,0.3,0.2,0.7,1.7,0.427,0.3,0.6,0.429,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.2,0.333,2002
49,49,2073,Brian Cardinal,1610612764,WAS,26.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,,,,,,,,,,2002
50,50,258,Brian Grant,1610612748,MIA,31.0,2.1,3.3,0.628,0.3,0.8,0.431,0.4,1.1,0.4,1.2,2.8,0.435,0.1,0.2,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
51,51,2243,Brian Scalabrine,1610612751,NJN,25.0,0.4,0.9,0.463,0.1,0.3,0.429,0.0,0.2,0.286,0.3,0.7,0.395,0.2,0.8,0.286,0.2,0.4,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
52,52,216,Brian Shaw,1610612747,LAL,37.0,0.2,0.4,0.548,0.1,0.4,0.25,0.1,0.3,0.25,0.3,0.7,0.469,0.3,1.0,0.319,0.4,1.0,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2002
53,53,1730,Brian Skinner,1610612755,PHI,27.0,1.9,2.9,0.642,0.3,0.9,0.366,0.1,0.4,0.31,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
54,54,1477,Bruce Bowen,1610612759,SAS,32.0,0.8,1.2,0.637,0.1,0.5,0.282,0.2,0.4,0.448,0.3,0.7,0.373,1.3,2.8,0.461,0.1,0.2,0.294,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
55,55,1743,Bruno Sundov,1610612738,BOS,23.0,0.3,0.5,0.571,0.0,0.4,0.0,0.0,0.3,0.0,0.1,0.7,0.154,0.1,0.5,0.2,0.1,0.4,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
56,56,1724,Bryce Drew,1610612740,NOH,28.0,0.1,0.2,0.333,0.1,0.1,1.0,0.1,0.4,0.2,0.2,0.8,0.182,0.2,0.4,0.4,0.1,0.3,0.5,,,,0.0,0.0,0.0,,,,2002
57,57,935,Bryon Russell,1610612764,WAS,32.0,0.3,0.7,0.462,0.0,0.1,0.2,0.1,0.2,0.333,0.3,0.7,0.367,0.7,1.9,0.364,0.2,0.9,0.241,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
58,58,384,Calbert Cheaney,1610612762,UTA,31.0,1.5,2.2,0.659,0.2,0.6,0.408,0.4,0.8,0.456,1.2,2.8,0.439,0.7,1.5,0.453,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
59,59,1916,Calvin Booth,1610612760,SEA,27.0,0.5,1.0,0.556,0.2,0.3,0.5,0.2,0.3,0.6,0.2,0.7,0.303,0.0,0.2,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
60,60,2306,Carlos Arroyo,1610612762,UTA,23.0,0.5,0.8,0.622,0.2,0.5,0.357,0.2,0.4,0.5,0.4,0.9,0.394,0.1,0.3,0.182,0.1,0.1,0.667,0.0,0.0,0.0,,,,0.0,0.5,0.0,2002
61,61,2430,Carlos Boozer,1610612739,CLE,21.0,2.7,4.4,0.616,0.3,0.7,0.404,0.4,0.9,0.457,0.7,1.7,0.43,0.0,0.1,0.286,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2002
62,62,2406,Caron Butler,1610612748,MIA,23.0,2.8,5.1,0.539,0.5,1.5,0.336,0.5,1.6,0.32,0.9,2.6,0.332,0.7,1.8,0.386,0.2,0.4,0.394,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.5,0.0,2002
63,63,2418,Casey Jacobsen,1610612756,PHX,22.0,0.7,1.4,0.495,0.0,0.1,0.125,0.1,0.2,0.545,0.1,0.4,0.241,0.8,2.0,0.382,0.1,0.7,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2002
64,64,2456,Cezary Trybanski,1610612763,MEM,23.0,0.3,0.6,0.444,0.1,0.5,0.167,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2002
65,65,891,Charles Oakley,1610612764,WAS,39.0,0.1,0.3,0.462,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.8,0.382,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
66,66,1520,Charles Smith,1610612757,POR,27.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,2002
67,67,369,Charlie Ward,1610612752,NYK,32.0,0.5,0.9,0.557,0.1,0.2,0.467,0.0,0.2,0.214,0.2,0.4,0.414,0.9,2.4,0.369,0.8,2.0,0.394,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.3,0.0,2002
68,68,1497,Chauncey Billups,1610612765,DET,26.0,1.2,2.6,0.481,0.2,0.4,0.419,0.4,0.9,0.485,0.6,1.7,0.357,1.4,3.0,0.468,1.1,3.1,0.35,0.2,0.5,0.333,0.0,0.3,0.0,0.0,0.2,0.0,2002
69,69,685,Cherokee Parks,1610612746,LAC,30.0,1.4,2.2,0.631,0.3,0.4,0.9,0.1,0.5,0.214,0.8,2.0,0.368,0.3,0.6,0.471,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2002
70,70,2365,Chris Andersen,1610612743,DEN,24.0,1.5,2.9,0.52,0.1,0.5,0.25,0.1,0.5,0.217,0.2,0.8,0.204,0.0,0.1,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
71,71,164,Chris Childs,1610612751,NJN,35.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.3,0.333,0.4,0.7,0.5,0.1,0.4,0.25,0.0,0.1,0.0,,,,,,,0.0,0.4,0.0,2002
72,72,1544,Chris Crawford,1610612737,ATL,28.0,0.4,0.6,0.667,0.2,0.2,1.0,0.4,0.6,0.667,0.4,0.6,0.667,0.0,0.3,0.0,0.3,0.5,0.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,2002
73,73,201,Chris Dudley,1610612757,POR,38.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,2002
74,74,2423,Chris Jefferies,1610612761,TOR,23.0,0.4,0.9,0.458,0.0,0.3,0.143,0.0,0.1,0.4,0.4,1.1,0.333,0.6,1.1,0.491,0.1,0.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
75,75,2036,Chris Mihm,1610612739,CLE,23.0,1.3,2.5,0.5,0.3,0.9,0.37,0.2,0.7,0.286,0.4,1.3,0.319,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2002
76,76,168,Chris Mills,1610612744,GSW,33.0,0.4,1.0,0.429,0.2,0.5,0.333,0.1,0.3,0.286,0.8,1.9,0.4,0.3,0.8,0.333,0.2,0.8,0.286,0.0,0.0,0.0,,,,,,,2002
77,77,2442,Chris Owens,1610612763,MEM,24.0,1.0,2.0,0.5,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,2002
78,78,185,Chris Webber,1610612758,SAC,30.0,3.6,5.9,0.603,1.6,4.0,0.394,0.7,1.8,0.369,3.3,7.5,0.44,0.7,1.9,0.375,0.0,0.2,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
79,79,43,Chris Whitney,1610612753,ORL,31.0,0.2,0.3,0.625,0.1,0.3,0.231,0.1,0.5,0.28,0.5,1.5,0.333,1.1,2.7,0.422,0.5,1.8,0.273,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
80,80,2404,Chris Wilcox,1610612746,LAC,20.0,1.1,1.8,0.642,0.4,0.9,0.395,0.2,0.4,0.353,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2002
81,81,363,Christian Laettner,1610612764,WAS,33.0,1.1,1.9,0.608,0.1,0.4,0.25,0.4,0.7,0.519,1.5,3.1,0.496,0.2,0.6,0.356,0.0,0.1,0.143,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2002
82,82,1088,Chucky Atkins,1610612765,DET,28.0,0.6,1.2,0.45,0.1,0.3,0.2,0.0,0.2,0.167,0.5,1.3,0.366,0.8,2.1,0.36,0.7,1.9,0.374,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,2002
83,83,221,Clar. Weatherspoon,1610612752,NYK,32.0,1.6,3.2,0.49,0.2,0.6,0.34,0.3,0.7,0.379,0.3,0.7,0.418,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
84,84,361,Clifford Robinson,1610612765,DET,36.0,1.2,2.3,0.525,0.9,1.9,0.471,0.5,1.5,0.322,0.9,2.3,0.368,0.4,1.4,0.316,0.7,2.1,0.343,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.2,0.333,2002
